advertising_id,recency,frequency,monetary
507e898a-a928-4d9a-974d-52266115f9cf,1,178,
910051f6-e868-4de6-b4c3-d2596e9a3e52,1,216,
f4b05f33-6cac-49a2-9d7e-bb182602e016,1,63,
bbe53067-b3d7-40d0-bb9e-f87e5b5b5108,1,265,
fee0eba1-3d90-4d18-b0e0-73380c1f732a,1,30,
ffbcb78e-78ed-4e49-952a-8b6d0bb7cbc9,1,275,
ae6c03a2-a1e3-445e-a658-0a05294c98fd,1,28,
05626298-5238-46b8-b0ad-57bfd9f61b12,1,25,
364acf35-dfd3-4f2e-9148-e57ce8b481e9,1,42,
80ec6139-4497-4eb1-8a51-e55e42b959a5,1,40,
e1e45d54-a2fc-444e-8d76-d7509887be02,1,23,
7bcba648-ca44-4c09-92a2-9142728f2b5b,1,41,
f892a10a-d52e-4d65-a7b6-460e69cde2e7,1,30,
cdc5a1a3-f748-47a9-9c76-ef3a4eccdfaf,1,27,
4eff403b-0067-4666-b28b-9948b0f3b38e,1,45,
f561657c-3b83-4eaf-8f5f-51b9657410ba,1,286,
d15fcb53-016c-4739-8b2e-37cb18dd67d8,1,29,
9575a92e-4785-4851-bdbb-0ccb45cdac34,1,77,
8e10d00b-d122-4882-ab70-ac7200af4359,1,83,
6c5feb77-199d-4b26-87b0-3670805ae801,1,107,
e9978f47-61ac-4034-90e7-f6b596ee3ec9,1,34,
722d0287-cdc6-44ae-abf8-79bb16fec1df,1,27,
ea11b376-f734-403a-9a1e-b2eec4bd8d3a,1,83,
4600e8aa-42b4-4d59-b894-182e26da8b45,1,166,
901a878a-34ce-4ccb-9f04-82f508d7b941,1,87,
64107dc5-0b16-49e4-9c98-d6b55223634f,1,146,
c57e7b0e-9eba-46b9-8d73-2e80f88b3a9b,1,36,
e51638ce-a7f1-4e74-ab13-5ddf38308dcb,1,90,
824a423b-15be-4df2-b2c8-2f98641c29a3,1,105,0.598764
e96a1849-fb31-466d-bf60-017c7b29244b,1,167,
c21a2c2a-c078-4abc-a58f-5449c80e85ed,1,225,
40148a17-447c-4047-bcfe-d4737f4afd82,1,186,
328e32ee-8114-4a72-9350-3d6bcc0a8727,1,315,0.916109
26fbf7fd-5abd-4126-a112-2ab9f57b1b06,1,203,
b624fd4f-344e-4377-a9e7-d89cc60db0f8,1,36,
143da3b1-8263-4d3d-b5dc-0e35641a96c7,1,32,
b07f2678-4563-4f86-a176-e4a57367646b,1,193,
1dd62d25-2d99-473f-84b2-f40b8ecf9c39,1,53,
6055e8d7-d121-419f-9ea4-7badb70f9e9b,1,46,
604f5af7-5624-4057-b586-1a1180ce6135,1,127,
1401cf8d-d446-4944-898f-f24442ab0444,1,222,
7bdce853-35c4-4587-bcb5-6312572417e1,1,29,
74aec43d-43a0-4fc6-8b33-35c9978663cc,1,31,
9a9f0bd7-4ee8-411c-803a-1d4e76eda000,1,37,
a7d91da9-942f-4fa9-9c2c-1af540d5e664,1,73,
8f15fdd9-b294-40a5-9a72-7960cef16391,1,66,
c57a6fa1-ecc9-4e3c-9f1b-d98aa62cb8f3,1,54,
4ffc0bdf-711e-40ee-864a-72d5c06da290,1,70,
